geo_id,has_merit_order,has_mountains,has_offshore_solar,has_solar_csp,has_weather_curves
GM1979,TRUE,FALSE,TRUE,FALSE,TRUE
GM1980,TRUE,FALSE,TRUE,FALSE,TRUE
GM1982,TRUE,FALSE,TRUE,FALSE,TRUE
GM1991,TRUE,FALSE,TRUE,FALSE,TRUE
GM1992,TRUE,FALSE,TRUE,FALSE,TRUE
ES01,TRUE,FALSE,TRUE,FALSE,TRUE
ES02,TRUE,FALSE,TRUE,FALSE,TRUE
ES03,TRUE,FALSE,TRUE,FALSE,TRUE
ES04,TRUE,FALSE,TRUE,FALSE,TRUE
ES05,TRUE,FALSE,TRUE,FALSE,TRUE
ES06,TRUE,FALSE,TRUE,FALSE,TRUE
ES07,TRUE,FALSE,TRUE,FALSE,TRUE
ES08,TRUE,FALSE,TRUE,FALSE,TRUE
ES09,TRUE,FALSE,TRUE,FALSE,TRUE
ES10,TRUE,FALSE,TRUE,FALSE,TRUE
ES11,TRUE,FALSE,TRUE,FALSE,TRUE
ES12,TRUE,FALSE,TRUE,FALSE,TRUE
ES13,TRUE,FALSE,TRUE,FALSE,TRUE
ES14,TRUE,FALSE,TRUE,FALSE,TRUE
ES15,TRUE,FALSE,TRUE,FALSE,TRUE
ES16,TRUE,FALSE,TRUE,FALSE,TRUE
ES17,TRUE,FALSE,TRUE,FALSE,TRUE
ES18,TRUE,FALSE,TRUE,FALSE,TRUE
ES19,TRUE,FALSE,TRUE,FALSE,TRUE
ES20,TRUE,FALSE,TRUE,FALSE,TRUE
ES21,TRUE,FALSE,TRUE,FALSE,TRUE
ES22,TRUE,FALSE,TRUE,FALSE,TRUE
ES23,TRUE,FALSE,TRUE,FALSE,TRUE
ES24,TRUE,FALSE,TRUE,FALSE,TRUE
ES25,TRUE,FALSE,TRUE,FALSE,TRUE
ES26,TRUE,FALSE,TRUE,FALSE,TRUE
ES27,TRUE,FALSE,TRUE,FALSE,TRUE
ES28,TRUE,FALSE,TRUE,FALSE,TRUE
ES29,TRUE,FALSE,TRUE,FALSE,TRUE
ES30,TRUE,FALSE,TRUE,FALSE,TRUE
PV20,TRUE,FALSE,TRUE,FALSE,TRUE
PV21,TRUE,FALSE,TRUE,FALSE,TRUE
PV22,TRUE,FALSE,TRUE,FALSE,TRUE
PV23,TRUE,FALSE,TRUE,FALSE,TRUE
PV24,TRUE,FALSE,TRUE,FALSE,TRUE
PV25,TRUE,FALSE,TRUE,FALSE,TRUE
PV26,TRUE,FALSE,TRUE,FALSE,TRUE
PV27,TRUE,FALSE,TRUE,FALSE,TRUE
PV28,TRUE,FALSE,TRUE,FALSE,TRUE
PV29,TRUE,FALSE,TRUE,FALSE,TRUE
PV30,TRUE,FALSE,TRUE,FALSE,TRUE
PV27_2022,TRUE,FALSE,TRUE,FALSE,TRUE
